"Name","success_rate","Hostname","State","n_success","Created","n_rollouts","test_epoch_loss","Runtime","action_dim","action_horizon","actor.action_horizon","actor.beta_schedule","actor.clip_sample","actor.diffusion_model.diffusion_step_embed_dim","actor.diffusion_model.down_dims","actor.diffusion_model.flatten_obs","actor.diffusion_model.kernel_size","actor.diffusion_model.n_groups","actor.diffusion_model.name","actor.first_action_index","actor.inference_steps","actor.loss_fn","actor.name","actor.num_diffusion_iters","actor.obs_horizon","actor.pred_horizon","actor.prediction_type","actor.projection_dim","control.act_rot_repr","control.control_mode","currently_evaluating","data.action_horizon","data.augment_image","data.data_subset","data.dataloader_workers","data.demo_outcome","data.demo_source","data.environment","data.furniture","data.normalization","data.obs_horizon","data.pad_after","data.pred_horizon","data.randomness","data.test_split","data_path","demo_outcome","demo_source","discount","dryrun","early_stopper.patience","early_stopper.smooth_factor","environment","furniture","lr_scheduler.name","lr_scheduler.warmup_steps","multitask.multitask","n_episodes","n_samples","obs_horizon","observation_type","pred_horizon","randomness","regularization.feature_dropout","regularization.feature_layernorm","regularization.feature_noise","regularization.state_noise","regularization.weight_decay","robot_state_dim","rollout.rollouts","timestep_obs_dim","training.actor_lr","training.batch_size","training.checkpoint_model","training.clip_grad_norm","training.clip_sample","training.encoder_lr","training.gpu_id","training.mixed_precision","training.model_save_dir","training.num_epochs","training.start_epoch","training.steps_per_epoch","vision_encoder.backbone","vision_encoder.freeze","vision_encoder.model","vision_encoder.pretrained","vision_encoder.use_groupnorm","wandb.mode","wandb.project","average_return","average_reward","batch_loss","early_stopper/best_loss","early_stopper/counter","early_stopper/ema_loss","epoch","epoch_loss","lr","num_episodes_test","num_episodes_train","num_samples_test","num_samples_train","total_return","total_reward"
"avid-pyramid-32","0.29","holygpu8a22302.rc.fas.harvard.edu","finished","29","2024-02-29T14:46:32.000Z","100","0.006641870054105918","11310","10","8","8","squaredcos_cap_v2","true","256","[256,512,1024]","true","5","8","unet","0","16","MSELoss","diffusion","100","1","32","epsilon","128","rot_6d","pos","false","8","true","20","16","success","teleop","sim","one_leg","min_max","1","true","32","low","0.05","[""/n/holyscratch01/parkes_lab/Users/lankile/furniture-data/processed/sim/one_leg/teleop/low/success.zarr""]","success","teleop","0.999","false","5","0.9","sim","one_leg","cosine","500","false","20","11082","1","image","32","low","false","false","false","false","0.000001","16","false","272","0.0001","256","true","false","true","0.0001","0","false","models","400","0","400","resnet18","false","resnet18","true","true","online","one_leg-data-scaling-1","0.1677942131079771","0.29","0.003831086680293083","0.00587596832766491","4","0.006110477998670828","108","0.003334819703013636","0.00008274303669726426","1","19","555","10527","16.77942131079771","29"
"vague-shadow-52","0.22","holygpu8a22401.rc.fas.harvard.edu","finished","11","2024-03-02T17:57:39.000Z","50","0.009429096709936855","8848","10","8","8","squaredcos_cap_v2","true","256","[256,512,1024]","true","5","8","unet","0","16","MSELoss","diffusion","100","1","32","epsilon","128","rot_6d","pos","false","8","true","20","16","success","teleop","sim","one_leg","min_max","1","true","32","low","0.05","[""/n/holyscratch01/parkes_lab/Users/lankile/furniture-data/processed/sim/one_leg/teleop/low/success.zarr""]","success","teleop","0.999","false","5","0.9","sim","one_leg","cosine","500","false","20","11082","1","image","32","low","false","false","false","false","0.000001","16","false","272","0.0001","256","true","false","true","0.0001","0","false","models","400","0","400","resnet18","false","resnet18","true","true","online","one_leg-data-scaling-1","0.1247246422920408","0.22","0.0032793686259537935","0.006990865855779279","4","0.007326290191568361","80","0.004789045648067258","0.0000902180503695094","1","19","555","10527","6.23623211460204","11"
"olive-pine-47","0.4","holygpu8a22504.rc.fas.harvard.edu","finished","20","2024-03-02T17:57:25.000Z","50","0.005521532613784075","15714","10","8","8","squaredcos_cap_v2","true","256","[256,512,1024]","true","5","8","unet","0","16","MSELoss","diffusion","100","1","32","epsilon","128","rot_6d","pos","false","8","true","30","16","success","teleop","sim","one_leg","min_max","1","true","32","low","0.05","[""/n/holyscratch01/parkes_lab/Users/lankile/furniture-data/processed/sim/one_leg/teleop/low/success.zarr""]","success","teleop","0.999","false","5","0.9","sim","one_leg","cosine","500","false","30","16520","1","image","32","low","false","false","false","false","0.000001","16","false","272","0.0001","256","true","false","true","0.0001","0","false","models","400","0","400","resnet18","false","resnet18","true","true","online","one_leg-data-scaling-1","0.22489275192440977","0.4","0.0029000677168369293","0.004909222931651181","4","0.004977671096561269","140","0.0028685623896308244","0.00007228173187782585","1","28","826","15694","11.244637596220487","20"
"dark-star-39","0.43","holygpu8a22304.rc.fas.harvard.edu","finished","43","2024-02-29T14:48:16.000Z","100","0.006341729895211756","13059","10","8","8","squaredcos_cap_v2","true","256","[256,512,1024]","true","5","8","unet","0","16","MSELoss","diffusion","100","1","32","epsilon","128","rot_6d","pos","false","8","true","30","16","success","teleop","sim","one_leg","min_max","1","true","32","low","0.05","[""/n/holyscratch01/parkes_lab/Users/lankile/furniture-data/processed/sim/one_leg/teleop/low/success.zarr""]","success","teleop","0.999","false","5","0.9","sim","one_leg","cosine","500","false","30","16520","1","image","32","low","false","false","false","false","0.000001","16","false","272","0.0001","256","true","false","true","0.0001","0","false","models","400","0","400","resnet18","false","resnet18","true","true","online","one_leg-data-scaling-1","0.2418375254045787","0.43","0.003325865836814046","0.006195948791958034","4","0.00640879401658094","99","0.0039527969382470475","0.0000853379253578209","1","28","826","15694","24.18375254045787","43"
"winter-resonance-51","0.58","holygpu8a22401.rc.fas.harvard.edu","finished","29","2024-03-02T17:57:39.000Z","50","0.007419926347211003","9373","10","8","8","squaredcos_cap_v2","true","256","[256,512,1024]","true","5","8","unet","0","16","MSELoss","diffusion","100","1","32","epsilon","128","rot_6d","pos","false","8","true","30","16","success","teleop","sim","one_leg","min_max","1","true","32","low","0.05","[""/n/holyscratch01/parkes_lab/Users/lankile/furniture-data/processed/sim/one_leg/teleop/low/success.zarr""]","success","teleop","0.999","false","5","0.9","sim","one_leg","cosine","500","false","30","16520","1","image","32","low","false","false","false","false","0.000001","16","false","272","0.0001","256","true","false","true","0.0001","0","false","models","400","0","400","resnet18","false","resnet18","true","true","online","one_leg-data-scaling-1","0.30228110069469194","0.58","0.004012018442153931","0.00744577714671722","4","0.007516465962890092","79","0.005032996207592078","0.00009045084971874738","1","28","826","15694","15.114055034734596","29"
"iconic-darkness-5","0.49","holygpu8a22105.rc.fas.harvard.edu","finished","49","2024-02-28T06:21:33.000Z","100","0.005976738524623215","11960","10","8","8","squaredcos_cap_v2","true","256","[256,512,1024]","true","5","8","unet","0","16","MSELoss","diffusion","100","1","32","epsilon","128","rot_6d","pos","false","8","true","30","16","success","teleop","sim","one_leg","min_max","1","true","32","low","0.05","[""/n/holyscratch01/parkes_lab/Users/lankile/furniture-data/processed/sim/one_leg/teleop/low/success.zarr""]","success","teleop","0.999","false","5","0.9","sim","one_leg","cosine","500","false","30","16520","1","image","32","low","false","false","false","false","0.000001","16","false","272","0.0001","256","true","false","true","","0","false","models","400","0","400","resnet18","false","resnet18","true","true","online","one_leg-data-scaling-1","0.2817879447003007","0.49","0.004284286871552467","0.0060661284463408025","4","0.00608567564804366","105","0.0038172455271705983","0.00008362694554193386","1","28","826","15694","28.17879447003007","49"
"playful-rain-13","0.33","holygpu8a22604.rc.fas.harvard.edu","finished","33","2024-02-28T08:35:39.000Z","100","0.006692880881018937","15169","10","8","8","squaredcos_cap_v2","true","256","[256,512,1024]","true","5","8","unet","0","16","MSELoss","diffusion","100","1","32","epsilon","128","rot_6d","pos","false","8","true","30","16","success","teleop","sim","one_leg","min_max","1","true","32","low","0.05","[""/n/holyscratch01/parkes_lab/Users/lankile/furniture-data/processed/sim/one_leg/teleop/low/success.zarr""]","success","teleop","0.999","false","5","0.9","sim","one_leg","cosine","500","false","30","16520","1","image","32","low","false","false","false","false","0.000001","16","false","272","0.0001","256","true","false","true","","0","false","models","400","0","400","resnet18","false","resnet18","true","true","online","one_leg-data-scaling-1","0.1825729573424068","0.33","0.003491735784336925","0.005370298953851431","4","0.005574847780841997","134","0.002985398189921398","0.00007437196583476596","1","28","826","15694","18.25729573424068","33"
"fine-sunset-44","0.46","holygpu8a22403.rc.fas.harvard.edu","finished","23","2024-03-02T17:57:21.000Z","50","0.005160202318802476","20082","10","8","8","squaredcos_cap_v2","true","256","[256,512,1024]","true","5","8","unet","0","16","MSELoss","diffusion","100","1","32","epsilon","128","rot_6d","pos","false","8","true","40","16","success","teleop","sim","one_leg","min_max","1","true","32","low","0.05","[""/n/holyscratch01/parkes_lab/Users/lankile/furniture-data/processed/sim/one_leg/teleop/low/success.zarr""]","success","teleop","0.999","false","5","0.9","sim","one_leg","cosine","500","false","40","22110","1","image","32","low","false","false","false","false","0.000001","16","false","272","0.0001","256","true","false","true","0.0001","0","false","models","400","0","400","resnet18","false","resnet18","true","true","online","one_leg-data-scaling-1","0.2553465383134473","0.46","0.003767040325328708","0.005349544924955936","4","0.005420650575649148","141","0.0032868159281497357","0.00007192839187115729","2","38","1106","21004","12.767326915672363","23"
"cool-haze-38","0.57","holygpu8a22304.rc.fas.harvard.edu","finished","57","2024-02-29T14:48:16.000Z","100","0.004939057864248753","19879","10","8","8","squaredcos_cap_v2","true","256","[256,512,1024]","true","5","8","unet","0","16","MSELoss","diffusion","100","1","32","epsilon","128","rot_6d","pos","false","8","true","40","16","success","teleop","sim","one_leg","min_max","1","true","32","low","0.05","[""/n/holyscratch01/parkes_lab/Users/lankile/furniture-data/processed/sim/one_leg/teleop/low/success.zarr""]","success","teleop","0.999","false","5","0.9","sim","one_leg","cosine","500","false","40","22110","1","image","32","low","false","false","false","false","0.000001","16","false","272","0.0001","256","true","false","true","0.0001","0","false","models","400","0","400","resnet18","false","resnet18","true","true","online","one_leg-data-scaling-1","0.33413756478763645","0.57","0.003292456967756152","0.0049246288516526645","4","0.005040864403083466","149","0.003143737442442216","0.00006905453049773902","2","38","1106","21004","33.413756478763645","57"
"super-dew-6","0.45","holygpu8a22602.rc.fas.harvard.edu","finished","45","2024-02-28T06:28:53.000Z","100","0.0046340536791831255","24643","10","8","8","squaredcos_cap_v2","true","256","[256,512,1024]","true","5","8","unet","0","16","MSELoss","diffusion","100","1","32","epsilon","128","rot_6d","pos","false","8","true","40","16","success","teleop","sim","one_leg","min_max","1","true","32","low","0.05","[""/n/holyscratch01/parkes_lab/Users/lankile/furniture-data/processed/sim/one_leg/teleop/low/success.zarr""]","success","teleop","0.999","false","5","0.9","sim","one_leg","cosine","500","false","40","22110","1","image","32","low","false","false","false","false","0.000001","16","false","272","0.0001","256","true","false","true","","0","false","models","400","0","400","resnet18","false","resnet18","true","true","online","one_leg-data-scaling-1","0.2536756434720164","0.45","0.0019184694392606616","0.004716772010794357","4","0.004754865685051692","172","0.0026914706226671115","0.00006041163905526126","2","38","1106","21004","25.367564347201636","45"
"clean-leaf-14","0.59","holygpu8a22606.rc.fas.harvard.edu","finished","59","2024-02-28T08:36:47.000Z","100","0.0057478279806673525","15998","10","8","8","squaredcos_cap_v2","true","256","[256,512,1024]","true","5","8","unet","0","16","MSELoss","diffusion","100","1","32","epsilon","128","rot_6d","pos","false","8","true","40","16","success","teleop","sim","one_leg","min_max","1","true","32","low","0.05","[""/n/holyscratch01/parkes_lab/Users/lankile/furniture-data/processed/sim/one_leg/teleop/low/success.zarr""]","success","teleop","0.999","false","5","0.9","sim","one_leg","cosine","500","false","40","22110","1","image","32","low","false","false","false","false","0.000001","16","false","272","0.0001","256","true","false","true","","0","false","models","400","0","400","resnet18","false","resnet18","true","true","online","one_leg-data-scaling-1","0.3320121599793232","0.59","0.0022416047286242247","0.005694564811724451","4","0.005774618194862682","129","0.004227046647574752","0.00007607242710422922","2","38","1106","21004","33.20121599793232","59"
"fine-dew-48","0.62","holygpu8a22504.rc.fas.harvard.edu","finished","31","2024-03-02T17:57:26.000Z","50","0.005436590872704983","16430","10","8","8","squaredcos_cap_v2","true","256","[256,512,1024]","true","5","8","unet","0","16","MSELoss","diffusion","100","1","32","epsilon","128","rot_6d","pos","false","8","true","40","16","success","teleop","sim","one_leg","min_max","1","true","32","low","0.05","[""/n/holyscratch01/parkes_lab/Users/lankile/furniture-data/processed/sim/one_leg/teleop/low/success.zarr""]","success","teleop","0.999","false","5","0.9","sim","one_leg","cosine","500","false","40","22110","1","image","32","low","false","false","false","false","0.000001","16","false","272","0.0001","256","true","false","true","0.0001","0","false","models","400","0","400","resnet18","false","resnet18","true","true","online","one_leg-data-scaling-1","0.3520892087634407","0.62","0.004771262407302856","0.005605366449414311","4","0.005687053716202914","129","0.003879707062151283","0.00007607242710422922","2","38","1106","21004","17.604460438172033","31"
"copper-glade-54","0.48","holygpu8a22506.rc.fas.harvard.edu","finished","24","2024-03-02T17:59:39.000Z","50","0.005304952152073383","21929","10","8","8","squaredcos_cap_v2","true","256","[256,512,1024]","true","5","8","unet","0","16","MSELoss","diffusion","100","1","32","epsilon","128","rot_6d","pos","false","8","true","25","16","success","[""teleop"",""rollout""]","sim","one_leg","min_max","1","true","32","low","0.05","[""/n/holyscratch01/parkes_lab/Users/lankile/furniture-data/processed/sim/one_leg/teleop/low/success.zarr"",""/n/holyscratch01/parkes_lab/Users/lankile/furniture-data/processed/sim/one_leg/rollout/low/success.zarr""]","success","[""teleop"",""rollout""]","0.999","false","5","0.9","sim","one_leg","cosine","500","false","50","27296","1","image","32","low","false","false","false","false","0.000001","16","false","272","0.0001","256","true","false","true","0.0001","0","false","models","400","0","400","resnet18","false","resnet18","true","true","online","one_leg-data-scaling-1","0.2698100365863381","0.48","0.0034791051875799894","0.005405240564866744","4","0.005478275988294952","136","0.003328080305655021","0.00007368104314666075","2","47","1365","25931","13.490501829316903","24"
